"tanggal","stasiun","pm25","pm10","so2","co","o3","no2","max","critical","categori"
"2023-12-24","DKI1 (Bunderan HI)",75,56,51,11,25,13,75,"PM25","SEDANG"
"2023-12-25","DKI1 (Bunderan HI)",52,38,48,10,25,9,52,"PM25","SEDANG"
"2023-12-26","DKI1 (Bunderan HI)",56,41,51,10,25,11,56,"PM25","SEDANG"
"2023-12-27","DKI1 (Bunderan HI)",35,36,49,8,20,7,49,"SO2","BAIK"
"2023-12-28","DKI1 (Bunderan HI)",51,33,50,11,8,7,51,"PM25","SEDANG"
"2023-12-29","DKI1 (Bunderan HI)",27,23,50,10,13,7,50,"SO2","BAIK"
"2023-12-30","DKI1 (Bunderan HI)",53,38,51,11,13,9,53,"PM25","SEDANG"
"2023-12-31","DKI1 (Bunderan HI)",68,54,49,11,19,12,68,"PM25","SEDANG"
"2024-01-01","DKI1 (Bunderan HI)",89,64,52,9,13,30,89,"PM25","SEDANG"
"2024-01-02","DKI1 (Bunderan HI)",93,53,52,4,12,28,93,"PM25","SEDANG"
"2024-01-03","DKI1 (Bunderan HI)",57,52,52,6,12,27,57,"PM25","SEDANG"
"2024-01-04","DKI1 (Bunderan HI)",NA,30,112,20,8,77,112,"SO2","TIDAK SEHAT"
"2024-01-05","DKI1 (Bunderan HI)",54,22,46,15,24,44,54,"PM25","SEDANG"
"2024-01-06","DKI1 (Bunderan HI)",68,49,46,12,38,36,68,"PM25","SEDANG"
"2024-01-07","DKI1 (Bunderan HI)",77,52,45,14,34,44,77,"PM25","SEDANG"
"2024-01-08","DKI1 (Bunderan HI)",52,49,46,10,27,32,52,"PM25","SEDANG"
"2024-01-09","DKI1 (Bunderan HI)",62,50,48,13,25,31,62,"PM25","SEDANG"
"2024-01-10","DKI1 (Bunderan HI)",66,49,49,10,34,41,66,"PM25","SEDANG"
"2024-01-11","DKI1 (Bunderan HI)",58,51,47,10,24,36,58,"PM25","SEDANG"
"2024-01-12","DKI1 (Bunderan HI)",26,30,45,8,18,21,45,"SO2","BAIK"
"2024-01-13","DKI1 (Bunderan HI)",53,34,46,8,25,25,53,"PM25","SEDANG"
"2024-01-14","DKI1 (Bunderan HI)",49,39,45,6,20,20,49,"PM25","BAIK"
"2024-01-15","DKI1 (Bunderan HI)",72,55,47,10,21,30,72,"PM25","SEDANG"
"2024-01-16","DKI1 (Bunderan HI)",47,41,48,10,25,24,48,"SO2","BAIK"
"2024-01-17","DKI1 (Bunderan HI)",54,45,51,8,16,30,54,"PM25","SEDANG"
"2024-01-18","DKI1 (Bunderan HI)",58,45,47,11,14,27,58,"PM25","SEDANG"
"2024-01-19","DKI1 (Bunderan HI)",31,19,46,NA,12,20,46,"SO2","BAIK"
"2024-01-20","DKI1 (Bunderan HI)",28,26,44,NA,17,17,44,"SO2","BAIK"
"2024-01-21","DKI1 (Bunderan HI)",50,36,46,6,15,14,50,"PM25","BAIK"
"2024-01-22","DKI1 (Bunderan HI)",26,24,44,3,17,11,44,"SO2","BAIK"
"2024-01-23","DKI1 (Bunderan HI)",38,20,44,5,15,12,44,"SO2","BAIK"
"2024-01-24","DKI1 (Bunderan HI)",37,31,45,8,14,14,45,"SO2","BAIK"
"2024-01-25","DKI1 (Bunderan HI)",56,43,48,11,14,22,56,"PM25","SEDANG"
"2024-01-26","DKI1 (Bunderan HI)",59,39,48,9,17,26,59,"PM25","SEDANG"
"2024-01-27","DKI1 (Bunderan HI)",18,21,45,NA,17,22,45,"SO2","BAIK"
"2024-01-28","DKI1 (Bunderan HI)",53,35,45,13,17,30,53,"PM25","SEDANG"
"2024-01-29","DKI1 (Bunderan HI)",NA,30,44,8,17,28,44,"SO2","BAIK"
"2024-01-30","DKI1 (Bunderan HI)",67,39,46,31,14,28,67,"PM25","SEDANG"
"2024-01-31","DKI1 (Bunderan HI)",49,25,47,19,24,30,49,"PM25","BAIK"
"2024-02-01","DKI1 (Bunderan HI)",72,52,49,17,18,37,72,"PM25","SEDANG"
"2024-02-02","DKI1 (Bunderan HI)",62,50,49,12,19,26,62,"PM25","SEDANG"
"2024-02-03","DKI1 (Bunderan HI)",51,33,48,10,20,22,51,"PM25","SEDANG"
"2024-02-04","DKI1 (Bunderan HI)",38,24,46,9,16,14,46,"SO2","BAIK"
"2024-02-05","DKI1 (Bunderan HI)",67,38,47,13,18,28,67,"PM25","SEDANG"
"2024-02-06","DKI1 (Bunderan HI)",61,47,47,9,18,32,61,"PM25","SEDANG"
"2024-02-07","DKI1 (Bunderan HI)",49,32,49,8,15,22,49,"PM25","BAIK"
"2024-02-08","DKI1 (Bunderan HI)",60,42,47,6,15,20,60,"PM25","SEDANG"
"2024-02-09","DKI1 (Bunderan HI)",72,51,51,6,21,31,72,"PM25","SEDANG"
"2024-02-10","DKI1 (Bunderan HI)",57,46,51,7,28,20,57,"PM25","SEDANG"
"2024-02-11","DKI1 (Bunderan HI)",57,39,50,9,23,23,57,"PM25","SEDANG"
"2024-02-12","DKI1 (Bunderan HI)",54,33,50,7,25,23,54,"PM25","SEDANG"
"2024-02-13","DKI1 (Bunderan HI)",52,39,51,7,26,28,52,"PM25","SEDANG"
"2024-02-14","DKI1 (Bunderan HI)",38,25,52,8,26,24,52,"SO2","SEDANG"
"2024-02-15","DKI1 (Bunderan HI)",55,35,NA,18,22,29,55,"PM25","SEDANG"
"2024-02-16","DKI1 (Bunderan HI)",73,57,20,28,20,40,73,"PM25","SEDANG"
"2024-02-17","DKI1 (Bunderan HI)",50,36,16,21,23,23,50,"PM25","BAIK"
"2024-02-18","DKI1 (Bunderan HI)",55,38,15,20,24,26,55,"PM25","SEDANG"
"2024-02-19","DKI1 (Bunderan HI)",66,46,16,24,14,39,66,"PM25","SEDANG"
"2024-02-20","DKI1 (Bunderan HI)",61,42,16,21,21,31,61,"PM25","SEDANG"
"2024-02-21","DKI1 (Bunderan HI)",73,52,20,32,24,37,73,"PM25","SEDANG"
"2024-02-22","DKI1 (Bunderan HI)",73,56,19,22,23,35,73,"PM25","SEDANG"
"2024-02-23","DKI1 (Bunderan HI)",56,38,16,20,23,29,56,"PM25","SEDANG"
"2024-02-24","DKI1 (Bunderan HI)",57,38,20,20,12,19,57,"PM25","SEDANG"
"2024-02-25","DKI1 (Bunderan HI)",37,26,20,16,22,19,37,"PM25","BAIK"
"2024-02-26","DKI1 (Bunderan HI)",42,25,13,17,18,24,42,"PM25","BAIK"
"2024-02-27","DKI1 (Bunderan HI)",63,44,14,25,16,32,63,"PM25","SEDANG"
"2024-02-28","DKI1 (Bunderan HI)",59,43,14,21,13,31,59,"PM25","SEDANG"
"2024-02-29","DKI1 (Bunderan HI)",44,33,13,22,14,29,44,"PM25","BAIK"
"2024-03-01","DKI1 (Bunderan HI)",62,45,14,30,23,37,62,"PM25","SEDANG"
"2024-03-02","DKI1 (Bunderan HI)",64,43,17,22,15,37,64,"PM25","SEDANG"
"2024-03-03","DKI1 (Bunderan HI)",51,33,17,20,22,27,51,"PM25","SEDANG"
"2024-03-04","DKI1 (Bunderan HI)",54,34,14,19,20,25,54,"PM25","SEDANG"
"2024-03-05","DKI1 (Bunderan HI)",43,24,13,19,20,22,43,"PM25","BAIK"
"2024-03-06","DKI1 (Bunderan HI)",38,25,15,17,17,21,38,"PM25","BAIK"
"2024-03-07","DKI1 (Bunderan HI)",35,23,14,17,20,21,35,"PM25","BAIK"
"2024-03-08","DKI1 (Bunderan HI)",34,19,13,15,22,15,34,"PM25","BAIK"
"2024-03-09","DKI1 (Bunderan HI)",30,29,17,17,19,21,30,"PM25","BAIK"
"2024-03-10","DKI1 (Bunderan HI)",72,53,17,27,20,35,72,"PM25","SEDANG"
"2024-03-11","DKI1 (Bunderan HI)",47,35,12,17,14,21,47,"PM25","BAIK"
"2024-03-12","DKI1 (Bunderan HI)",50,31,11,13,21,19,50,"PM25","BAIK"
"2024-03-13","DKI1 (Bunderan HI)",60,42,14,15,19,25,60,"PM25","SEDANG"
"2024-03-14","DKI1 (Bunderan HI)",52,36,12,17,17,29,52,"PM25","SEDANG"
"2024-03-15","DKI1 (Bunderan HI)",44,32,15,16,22,22,44,"PM25","BAIK"
"2024-03-16","DKI1 (Bunderan HI)",27,23,13,13,23,20,27,"PM25","BAIK"
"2024-03-17","DKI1 (Bunderan HI)",37,24,14,12,21,16,37,"PM25","BAIK"
"2024-03-18","DKI1 (Bunderan HI)",35,22,16,11,20,17,35,"PM25","BAIK"
"2024-03-19","DKI1 (Bunderan HI)",47,29,14,13,18,18,47,"PM25","BAIK"
"2024-03-20","DKI1 (Bunderan HI)",47,27,13,17,10,16,47,"PM25","BAIK"
"2024-03-21","DKI1 (Bunderan HI)",51,28,18,16,11,18,51,"PM25","SEDANG"
"2024-03-22","DKI1 (Bunderan HI)",28,24,10,17,17,26,28,"PM25","BAIK"
"2024-03-23","DKI1 (Bunderan HI)",100,63,15,31,30,47,100,"PM25","SEDANG"
"2024-03-24","DKI1 (Bunderan HI)",71,52,13,15,38,30,71,"PM25","SEDANG"
"2024-03-25","DKI1 (Bunderan HI)",64,44,13,16,25,39,64,"PM25","SEDANG"
"2024-03-26","DKI1 (Bunderan HI)",73,52,13,21,25,37,73,"PM25","SEDANG"
"2024-03-27","DKI1 (Bunderan HI)",77,57,13,22,17,43,77,"PM25","SEDANG"
"2024-03-28","DKI1 (Bunderan HI)",92,62,19,22,33,45,92,"PM25","SEDANG"
"2024-03-29","DKI1 (Bunderan HI)",90,62,16,19,35,50,90,"PM25","SEDANG"
"2024-03-30","DKI1 (Bunderan HI)",75,56,16,21,29,44,75,"PM25","SEDANG"
"2024-03-31","DKI1 (Bunderan HI)",79,53,12,23,32,41,79,"PM25","SEDANG"
"2024-04-01","DKI1 (Bunderan HI)",96,63,11,26,27,52,96,"PM25","SEDANG"
"2024-04-02","DKI1 (Bunderan HI)",97,67,14,28,28,62,97,"PM25","SEDANG"
"2024-04-03","DKI1 (Bunderan HI)",78,62,13,25,24,52,78,"PM25","SEDANG"
"2024-04-04","DKI1 (Bunderan HI)",63,48,12,30,24,51,63,"PM25","SEDANG"
"2024-04-05","DKI1 (Bunderan HI)",102,67,13,34,26,58,102,"PM25","TIDAK SEHAT"
"2024-04-06","DKI1 (Bunderan HI)",83,58,15,28,29,39,83,"PM25","SEDANG"
"2024-04-07","DKI1 (Bunderan HI)",68,48,12,22,36,34,68,"PM25","SEDANG"
"2024-04-08","DKI1 (Bunderan HI)",65,50,13,19,44,31,65,"PM25","SEDANG"
"2024-04-09","DKI1 (Bunderan HI)",62,40,15,20,34,24,62,"PM25","SEDANG"
"2024-04-10","DKI1 (Bunderan HI)",76,55,14,26,37,34,76,"PM25","SEDANG"
"2024-04-11","DKI1 (Bunderan HI)",54,40,10,18,31,26,54,"PM25","SEDANG"
"2024-04-12","DKI1 (Bunderan HI)",45,24,9,15,30,24,45,"PM25","BAIK"
"2024-04-13","DKI1 (Bunderan HI)",53,33,10,20,31,29,53,"PM25","SEDANG"
"2024-04-14","DKI1 (Bunderan HI)",47,27,9,17,34,23,47,"PM25","BAIK"
"2024-04-15","DKI1 (Bunderan HI)",46,27,9,19,27,25,46,"PM25","BAIK"
"2024-04-16","DKI1 (Bunderan HI)",52,32,13,17,25,20,52,"PM25","SEDANG"
"2024-04-17","DKI1 (Bunderan HI)",69,46,12,21,35,32,69,"PM25","SEDANG"
"2024-04-18","DKI1 (Bunderan HI)",60,44,11,24,33,37,60,"PM25","SEDANG"
"2024-04-19","DKI1 (Bunderan HI)",60,41,14,21,25,38,60,"PM25","SEDANG"
"2024-04-20","DKI1 (Bunderan HI)",77,57,20,22,24,33,77,"PM25","SEDANG"
"2024-04-21","DKI1 (Bunderan HI)",52,40,13,18,24,25,52,"PM25","SEDANG"
"2024-04-22","DKI1 (Bunderan HI)",71,53,13,22,23,40,71,"PM25","SEDANG"
"2024-04-23","DKI1 (Bunderan HI)",70,52,14,25,17,41,70,"PM25","SEDANG"
"2024-04-24","DKI1 (Bunderan HI)",71,50,13,25,22,49,71,"PM25","SEDANG"
"2024-04-25","DKI1 (Bunderan HI)",69,52,11,23,31,51,69,"PM25","SEDANG"
"2024-04-26","DKI1 (Bunderan HI)",58,41,13,19,26,35,58,"PM25","SEDANG"
"2024-04-27","DKI1 (Bunderan HI)",73,53,19,22,20,34,73,"PM25","SEDANG"
"2024-04-28","DKI1 (Bunderan HI)",74,51,13,25,28,34,74,"PM25","SEDANG"
"2024-04-29","DKI1 (Bunderan HI)",65,50,13,17,28,28,65,"PM25","SEDANG"
"2024-04-30","DKI1 (Bunderan HI)",70,53,16,18,27,33,70,"PM25","SEDANG"
"2024-05-01","DKI1 (Bunderan HI)",63,47,15,19,26,34,63,"PM25","SEDANG"
"2024-05-02","DKI1 (Bunderan HI)",75,54,14,18,27,30,75,"PM25","SEDANG"
"2024-05-03","DKI1 (Bunderan HI)",85,58,13,24,30,43,85,"PM25","SEDANG"
"2024-05-04","DKI1 (Bunderan HI)",87,62,14,24,25,50,87,"PM25","SEDANG"
"2024-05-05","DKI1 (Bunderan HI)",88,60,14,27,22,47,88,"PM25","SEDANG"
"2024-05-06","DKI1 (Bunderan HI)",82,59,15,18,26,38,82,"PM25","SEDANG"
"2024-05-07","DKI1 (Bunderan HI)",92,64,16,20,23,42,92,"PM25","SEDANG"
"2024-05-08","DKI1 (Bunderan HI)",87,63,19,18,20,47,87,"PM25","SEDANG"
"2024-05-09","DKI1 (Bunderan HI)",93,62,16,18,22,44,93,"PM25","SEDANG"
"2024-05-10","DKI1 (Bunderan HI)",84,56,19,12,30,27,84,"PM25","SEDANG"
"2024-05-11","DKI1 (Bunderan HI)",74,52,18,11,28,27,74,"PM25","SEDANG"
"2024-05-12","DKI1 (Bunderan HI)",75,53,18,10,28,27,75,"PM25","SEDANG"
"2024-05-13","DKI1 (Bunderan HI)",64,52,16,8,25,25,64,"PM25","SEDANG"
"2024-05-14","DKI1 (Bunderan HI)",85,61,18,10,28,39,85,"PM25","SEDANG"
"2024-05-15","DKI1 (Bunderan HI)",78,62,14,20,26,40,78,"PM25","SEDANG"
"2024-05-16","DKI1 (Bunderan HI)",98,65,19,17,28,40,98,"PM25","SEDANG"
"2024-05-17","DKI1 (Bunderan HI)",86,64,17,17,21,39,86,"PM25","SEDANG"
"2024-05-18","DKI1 (Bunderan HI)",97,67,18,20,18,48,97,"PM25","SEDANG"
"2024-05-19","DKI1 (Bunderan HI)",92,63,15,17,25,36,92,"PM25","SEDANG"
"2024-05-20","DKI1 (Bunderan HI)",91,65,17,15,26,32,91,"PM25","SEDANG"
"2024-05-21","DKI1 (Bunderan HI)",97,62,25,14,23,45,97,"PM25","SEDANG"
"2024-05-22","DKI1 (Bunderan HI)",92,65,20,12,24,37,92,"PM25","SEDANG"
"2024-05-23","DKI1 (Bunderan HI)",78,59,20,11,22,32,78,"PM25","SEDANG"
"2024-05-24","DKI1 (Bunderan HI)",74,60,16,13,19,30,74,"PM25","SEDANG"
"2024-05-25","DKI1 (Bunderan HI)",53,39,12,15,16,30,53,"PM25","SEDANG"
"2024-05-26","DKI1 (Bunderan HI)",82,61,26,21,19,38,82,"PM25","SEDANG"
"2024-05-27","DKI1 (Bunderan HI)",92,64,22,15,25,39,92,"PM25","SEDANG"
"2024-05-28","DKI1 (Bunderan HI)",100,67,18,14,29,42,100,"PM25","SEDANG"
"2024-05-29","DKI1 (Bunderan HI)",86,64,19,10,32,36,86,"PM25","SEDANG"
"2024-05-30","DKI1 (Bunderan HI)",85,59,19,8,29,38,85,"PM25","SEDANG"
"2024-05-31","DKI1 (Bunderan HI)",101,70,17,10,27,44,101,"PM25","TIDAK SEHAT"
"2024-06-01","DKI1 (Bunderan HI)",102,73,16,8,22,48,102,"PM25","TIDAK SEHAT"
"2024-06-02","DKI1 (Bunderan HI)",95,67,14,5,24,45,95,"PM25","SEDANG"
"2024-06-03","DKI1 (Bunderan HI)",61,50,11,5,24,40,61,"PM25","SEDANG"
"2024-06-04","DKI1 (Bunderan HI)",76,58,14,5,26,44,76,"PM25","SEDANG"
"2024-06-05","DKI1 (Bunderan HI)",88,63,17,6,27,51,88,"PM25","SEDANG"
"2024-06-06","DKI1 (Bunderan HI)",77,55,16,5,16,42,77,"PM25","SEDANG"
"2024-06-07","DKI1 (Bunderan HI)",82,58,16,NA,24,41,82,"PM25","SEDANG"
"2024-06-08","DKI1 (Bunderan HI)",88,62,16,25,22,40,88,"PM25","SEDANG"
"2024-06-09","DKI1 (Bunderan HI)",87,63,18,23,27,32,87,"PM25","SEDANG"
"2024-06-10","DKI1 (Bunderan HI)",99,69,14,34,19,50,99,"PM25","SEDANG"
"2024-06-11","DKI1 (Bunderan HI)",79,60,18,26,31,37,79,"PM25","SEDANG"
"2024-06-12","DKI1 (Bunderan HI)",76,58,12,35,26,51,76,"PM25","SEDANG"
"2024-06-13","DKI1 (Bunderan HI)",61,49,16,30,21,36,61,"PM25","SEDANG"
"2024-06-14","DKI1 (Bunderan HI)",66,52,18,25,23,33,66,"PM25","SEDANG"
"2024-06-15","DKI1 (Bunderan HI)",69,50,14,28,33,38,69,"PM25","SEDANG"
"2024-06-16","DKI1 (Bunderan HI)",73,54,9,26,41,42,73,"PM25","SEDANG"
"2024-06-17","DKI1 (Bunderan HI)",72,53,11,27,32,32,72,"PM25","SEDANG"
"2024-06-18","DKI1 (Bunderan HI)",98,63,13,24,33,30,98,"PM25","SEDANG"
"2024-06-19","DKI1 (Bunderan HI)",93,67,15,30,27,46,93,"PM25","SEDANG"
"2024-06-20","DKI1 (Bunderan HI)",87,62,16,25,24,37,87,"PM25","SEDANG"
"2024-06-21","DKI1 (Bunderan HI)",89,62,16,26,26,43,89,"PM25","SEDANG"
"2024-06-22","DKI1 (Bunderan HI)",90,63,15,25,30,41,90,"PM25","SEDANG"
"2024-06-23","DKI1 (Bunderan HI)",89,63,17,25,27,35,89,"PM25","SEDANG"
"2024-06-24","DKI1 (Bunderan HI)",85,57,15,26,20,40,85,"PM25","SEDANG"
"2024-06-25","DKI1 (Bunderan HI)",76,58,20,26,20,34,76,"PM25","SEDANG"
"2024-06-26","DKI1 (Bunderan HI)",65,51,13,30,23,29,65,"PM25","SEDANG"
"2024-06-27","DKI1 (Bunderan HI)",74,56,14,25,23,32,74,"PM25","SEDANG"
"2024-06-28","DKI1 (Bunderan HI)",67,53,12,27,24,33,67,"PM25","SEDANG"
"2024-06-29","DKI1 (Bunderan HI)",74,52,11,34,22,34,74,"PM25","SEDANG"
"2024-06-30","DKI1 (Bunderan HI)",58,41,10,24,23,33,58,"PM25","SEDANG"
"2024-07-01","DKI1 (Bunderan HI)",90,62,11,28,31,41,90,"PM25","SEDANG"
"2024-07-02","DKI1 (Bunderan HI)",74,55,9,26,25,38,74,"PM25","SEDANG"
"2024-07-03","DKI1 (Bunderan HI)",103,69,12,38,29,51,103,"PM25","TIDAK SEHAT"
"2024-07-04","DKI1 (Bunderan HI)",78,58,9,36,26,52,78,"PM25","SEDANG"
"2024-07-05","DKI1 (Bunderan HI)",66,53,10,28,21,41,66,"PM25","SEDANG"
"2024-07-06","DKI1 (Bunderan HI)",38,30,8,24,15,24,38,"PM25","BAIK"
"2024-07-07","DKI1 (Bunderan HI)",41,24,8,24,24,26,41,"PM25","BAIK"
"2024-07-08","DKI1 (Bunderan HI)",53,31,11,23,24,30,53,"PM25","SEDANG"
"2024-07-09","DKI1 (Bunderan HI)",66,43,8,31,28,49,66,"PM25","SEDANG"
"2024-07-10","DKI1 (Bunderan HI)",77,55,11,24,32,37,77,"PM25","SEDANG"
"2024-07-11","DKI1 (Bunderan HI)",94,64,13,32,25,50,94,"PM25","SEDANG"
"2024-07-12","DKI1 (Bunderan HI)",86,60,11,26,35,43,86,"PM25","SEDANG"
"2024-07-13","DKI1 (Bunderan HI)",93,66,15,30,23,50,93,"PM25","SEDANG"
"2024-07-14","DKI1 (Bunderan HI)",83,59,12,27,26,41,83,"PM25","SEDANG"
"2024-07-15","DKI1 (Bunderan HI)",85,58,15,25,28,40,85,"PM25","SEDANG"
"2024-07-16","DKI1 (Bunderan HI)",92,58,13,27,28,49,92,"PM25","SEDANG"
"2024-07-17","DKI1 (Bunderan HI)",88,59,17,26,20,45,88,"PM25","SEDANG"
"2024-07-18","DKI1 (Bunderan HI)",91,63,17,25,27,40,91,"PM25","SEDANG"
"2024-07-19","DKI1 (Bunderan HI)",84,58,15,25,23,38,84,"PM25","SEDANG"
"2024-07-20","DKI1 (Bunderan HI)",84,60,17,24,24,38,84,"PM25","SEDANG"
"2024-07-21","DKI1 (Bunderan HI)",87,59,13,24,26,35,87,"PM25","SEDANG"
"2024-07-22","DKI1 (Bunderan HI)",79,59,12,24,29,38,79,"PM25","SEDANG"
"2024-07-23","DKI1 (Bunderan HI)",92,63,16,25,33,41,92,"PM25","SEDANG"
"2024-07-24","DKI1 (Bunderan HI)",99,75,23,27,27,44,99,"PM25","SEDANG"
"2024-07-25","DKI1 (Bunderan HI)",83,61,16,26,28,43,83,"PM25","SEDANG"
"2024-07-26","DKI1 (Bunderan HI)",84,59,15,27,15,42,84,"PM25","SEDANG"
"2024-07-27","DKI1 (Bunderan HI)",94,64,17,24,18,37,94,"PM25","SEDANG"
"2024-07-28","DKI1 (Bunderan HI)",102,64,16,24,29,33,102,"PM25","TIDAK SEHAT"
"2024-07-29","DKI1 (Bunderan HI)",90,63,15,23,25,33,90,"PM25","SEDANG"
"2024-07-30","DKI1 (Bunderan HI)",96,63,16,26,20,44,96,"PM25","SEDANG"
"2024-07-31","DKI1 (Bunderan HI)",105,69,16,27,21,49,105,"PM25","TIDAK SEHAT"
"2024-08-01","DKI1 (Bunderan HI)",103,68,13,28,26,44,103,"PM25","TIDAK SEHAT"
"2024-08-02","DKI1 (Bunderan HI)",85,60,11,27,37,44,85,"PM25","SEDANG"
"2024-08-03","DKI1 (Bunderan HI)",64,47,10,28,26,45,64,"PM25","SEDANG"
"2024-08-04","DKI1 (Bunderan HI)",74,50,10,29,29,39,74,"PM25","SEDANG"
"2024-08-05","DKI1 (Bunderan HI)",78,53,10,26,23,37,78,"PM25","SEDANG"
"2024-08-06","DKI1 (Bunderan HI)",75,53,16,24,21,42,75,"PM25","SEDANG"
"2024-08-07","DKI1 (Bunderan HI)",91,62,13,26,27,42,91,"PM25","SEDANG"
"2024-08-08","DKI1 (Bunderan HI)",96,64,16,28,23,42,96,"PM25","SEDANG"
"2024-08-09","DKI1 (Bunderan HI)",91,61,15,25,19,33,91,"PM25","SEDANG"
