"tanggal","stasiun","pm25","pm10","so2","co","o3","no2","max","critical","categori"
"2024-10-13","DKI1 (Bunderan HI)",92,63,11,27,26,33,92,"PM25","SEDANG"
"2024-10-14","DKI1 (Bunderan HI)",86,61,12,26,31,37,86,"PM25","SEDANG"
"2024-10-15","DKI1 (Bunderan HI)",71,53,13,24,35,40,71,"PM25","SEDANG"
"2024-10-16","DKI1 (Bunderan HI)",94,69,15,30,33,48,94,"PM25","SEDANG"
"2024-10-17","DKI1 (Bunderan HI)",70,59,14,26,32,44,70,"PM25","SEDANG"
"2024-10-18","DKI1 (Bunderan HI)",73,55,13,25,36,40,73,"PM25","SEDANG"
"2024-10-19","DKI1 (Bunderan HI)",82,65,14,26,39,37,82,"PM25","SEDANG"
"2024-10-20","DKI1 (Bunderan HI)",82,61,14,36,20,34,82,"PM25","SEDANG"
"2024-10-21","DKI1 (Bunderan HI)",82,51,12,23,28,32,82,"PM25","SEDANG"
"2024-10-22","DKI1 (Bunderan HI)",94,64,14,28,32,51,94,"PM25","SEDANG"
"2024-10-23","DKI1 (Bunderan HI)",84,57,12,24,40,38,84,"PM25","SEDANG"
"2024-10-24","DKI1 (Bunderan HI)",78,52,10,23,34,35,78,"PM25","SEDANG"
"2024-10-25","DKI1 (Bunderan HI)",73,52,9,26,40,45,73,"PM25","SEDANG"
"2024-10-26","DKI1 (Bunderan HI)",76,57,8,26,29,40,76,"PM25","SEDANG"
"2024-10-27","DKI1 (Bunderan HI)",78,54,19,23,34,31,78,"PM25","SEDANG"
"2024-10-28","DKI1 (Bunderan HI)",83,60,10,26,37,36,83,"PM25","SEDANG"
"2024-10-29","DKI1 (Bunderan HI)",75,59,11,28,29,41,75,"PM25","SEDANG"
"2024-10-30","DKI1 (Bunderan HI)",86,62,11,27,36,44,86,"PM25","SEDANG"
"2024-10-31","DKI1 (Bunderan HI)",78,59,11,28,29,45,78,"PM25","SEDANG"
"2024-11-01","DKI1 (Bunderan HI)",87,62,11,28,33,47,87,"PM25","SEDANG"
"2024-11-02","DKI1 (Bunderan HI)",87,60,14,25,26,41,87,"PM25","SEDANG"
"2024-11-03","DKI1 (Bunderan HI)",70,51,10,34,29,43,70,"PM25","SEDANG"
"2024-11-04","DKI1 (Bunderan HI)",60,44,8,25,NA,37,60,"PM25","SEDANG"
"2024-11-05","DKI1 (Bunderan HI)",65,40,12,28,75,45,75,"O3","SEDANG"
"2024-11-06","DKI1 (Bunderan HI)",58,40,10,26,15,39,58,"PM25","SEDANG"
"2024-11-07","DKI1 (Bunderan HI)",83,55,13,27,18,40,83,"PM25","SEDANG"
"2024-11-08","DKI1 (Bunderan HI)",83,57,12,28,24,44,83,"PM25","SEDANG"
"2024-11-09","DKI1 (Bunderan HI)",99,67,16,32,20,46,99,"PM25","SEDANG"
"2024-11-10","DKI1 (Bunderan HI)",71,54,10,32,15,41,71,"PM25","SEDANG"
"2024-11-11","DKI1 (Bunderan HI)",71,51,10,30,18,42,71,"PM25","SEDANG"
"2024-11-12","DKI1 (Bunderan HI)",53,39,9,28,9,36,53,"PM25","SEDANG"
"2024-11-13","DKI1 (Bunderan HI)",74,53,8,31,7,33,74,"PM25","SEDANG"
